ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
15056,200000,1,1,1,39,0,0,0,0,0,2,132589,135286,139725,142605,149894,153054,4900,6600,6700,11200,5700,5900,1
24120,360000,1,1,2,28,-1,-1,0,0,0,0,9179,10977,14190,16328,17383,17194,10977,8500,4000,1700,371,1150,0
24556,100000,1,1,1,31,0,0,0,0,0,0,91176,95664,99226,99838,21435,0,6000,6000,4000,5000,0,0,0
21775,20000,2,1,2,24,2,-1,2,0,0,0,1015,19214,15703,9914,8200,11876,19214,0,1000,0,5000,5400,1
8326,200000,2,1,2,32,0,0,0,0,0,0,47517,8219,9000,10000,11340,0,1219,1000,1000,1340,0,0,0
5948,90000,2,2,1,24,-2,-2,-2,-2,-2,-2,91272,91337,88129,76209,65295,27224,5000,3069,2028,2110,2142,39245,0
11594,170000,2,2,2,27,1,-1,0,0,0,0,-1020,25607,23922,24399,24919,26884,27107,1500,863,903,3000,6186,0
4110,230000,1,1,2,32,-2,-2,-2,-2,-2,-2,489,0,1257,0,1169,641,0,1257,0,1169,641,0,0
13476,30000,2,2,1,56,0,0,2,0,0,2,11564,14099,13580,13657,16356,16540,3042,0,600,2942,600,0,0
4715,160000,2,2,2,35,0,0,0,0,0,0,124459,130916,132179,135030,135656,135448,10000,5000,4854,10000,6000,4000,0
18266,50000,1,3,1,51,0,0,0,0,0,0,47877,48519,46538,45465,18654,19042,2516,2106,2048,783,806,652,0
6054,230000,2,1,1,51,-1,-1,-1,-1,-1,-1,986,2295,2754,74,3381,2308,2295,2764,74,3381,2308,2381,1
13942,50000,1,3,1,49,0,0,0,-2,-2,-2,50180,51400,0,0,0,0,2400,0,0,0,0,0,1
20999,200000,1,2,1,32,-1,-1,0,0,-1,-1,80,89691,91517,72739,389,389,90001,3935,3759,390,390,390,0
9925,210000,2,2,1,37,-2,-2,-2,-2,-2,-2,1094,1335,3056,213,825,1240,1335,3056,213,825,1240,5693,0
26493,160000,2,1,1,58,-2,-2,-2,-2,-2,-2,749,3883,3584,1830,390,390,3894,3594,2246,390,390,390,1
8499,10000,1,2,2,34,0,0,0,0,0,0,8097,9109,10125,10327,10552,18836,1151,2167,369,391,436,200,0
135,30000,2,2,2,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,0
28956,380000,2,1,2,33,0,0,0,0,0,0,89842,88898,63203,44889,44276,31799,8000,8009,7000,6000,10500,8500,0
5828,280000,2,1,2,38,-1,0,0,-1,0,-1,17878,14011,30079,13139,13989,15559,2000,30000,14000,1000,16000,0,1
13947,100000,1,6,2,51,2,0,0,0,0,0,101658,97937,98893,101044,96045,97227,4134,3952,3611,3298,3401,3415,0
12687,180000,2,2,2,28,0,0,0,0,0,0,103203,108032,109741,112907,115924,118832,6500,5000,5000,5000,5000,5000,0
12133,280000,2,1,2,27,0,0,0,0,0,0,160889,165400,166712,170059,154387,157832,9000,6000,6000,6000,6000,6000,0
24041,60000,1,1,2,26,-1,-1,0,0,0,0,1870,32603,32432,27976,25862,24571,32607,2119,3008,1006,1042,1001,0
3993,20000,1,2,2,22,3,2,2,3,2,2,17710,17137,19830,19240,18419,20126,0,3000,0,0,2000,0,1
17075,200000,2,2,2,25,0,0,2,0,0,0,175435,195581,190716,132731,129960,66747,24720,0,6000,40450,13000,5000,0
906,30000,2,2,2,27,-1,-1,2,0,-1,2,27772,30461,29325,21449,29709,29086,3136,0,0,29709,0,1576,0
22660,150000,2,3,2,48,0,0,0,0,0,0,175095,175522,173918,174074,178671,178869,10011,6200,5874,10000,6054,7108,0
8392,320000,2,2,1,55,-2,-2,-2,-2,-2,-2,11973,4076,7879,5436,51529,18088,4093,7917,5459,51787,18178,3659,0
25205,120000,2,1,2,23,0,0,0,0,0,0,117035,115624,117204,116835,77926,76993,6000,6000,4000,4000,3000,3500,0
18933,200000,2,1,2,31,1,-2,-2,-1,-1,-1,4035,4195,0,2907,2400,945,4210,0,2907,2400,945,0,0
18311,450000,2,1,1,36,-2,-2,-2,-2,-2,-2,3961,2483,74,-73,14590,-70,2495,100,0,14663,0,14121,0
17911,100000,1,2,2,28,2,0,0,0,2,0,58566,56770,56300,54288,25759,25775,5100,2825,5000,0,2000,0,1
19842,130000,2,1,1,33,0,0,0,0,0,0,63505,64121,66351,73399,71007,71253,5000,5000,10000,3000,3000,3228,0
18349,50000,2,1,2,23,0,0,0,0,0,0,8889,10234,13734,14754,16499,18223,1500,4000,1255,2000,2000,3000,0
23880,360000,1,1,2,27,-2,-2,-2,-2,-2,-2,2807,894,5939,1390,-5,-5,898,5970,1396,0,0,0,0
11185,180000,1,2,2,29,1,2,0,0,0,0,191262,183554,164619,133372,92101,60389,0,7100,5500,3500,3000,30000,0
26771,200000,1,1,2,29,-1,-1,-1,-1,-1,-1,3773,3990,9048,4700,800,4082,4029,9048,4700,800,4082,0,0
3971,250000,1,1,1,31,-2,-2,-1,-1,-1,-1,3759,17694,14505,4757,11357,6679,8873,14548,4771,11491,6896,890,0
19352,120000,2,2,1,40,1,2,3,2,3,2,57816,62139,60584,63871,62251,63443,5900,0,4900,0,2500,2500,1
4710,290000,1,1,1,44,-1,-1,-1,-1,-1,-1,19213,33274,17495,1528,4176,189,33548,17732,1862,4188,189,7324,0
18127,160000,1,3,1,42,-1,0,0,0,0,0,75847,89094,88956,62768,64410,82919,30000,4326,4000,3000,20000,3500,0
6797,30000,1,3,1,47,0,0,2,0,0,-2,27609,30791,29913,30461,0,0,3630,0,1300,0,0,0,0
15055,470000,1,2,1,35,0,0,0,0,0,0,170812,172332,177566,182074,183417,185608,6500,8000,9000,7000,8000,8000,1
1462,120000,1,1,2,36,0,0,2,0,0,2,24466,28255,27507,27952,31136,30486,4500,0,1200,3800,0,1500,0
20422,120000,1,2,2,26,-2,-2,-2,-2,-2,-2,316,316,316,316,316,316,316,316,316,316,316,316,0
6168,500000,1,1,1,33,1,-2,-2,-2,-1,0,2907,-110,-110,-310,82690,84529,9,0,0,83000,3000,4561,0
26584,360000,1,1,1,34,0,0,0,-1,-1,-1,3187,3758,-1360,113091,114251,117922,1025,1361,116380,4001,5001,4001,0
29993,10000,1,3,1,43,0,0,0,-2,-2,-2,8802,10400,0,0,0,0,2000,0,0,0,0,0,0
26897,10000,1,3,1,35,0,0,0,0,0,0,7536,8152,8779,9379,9565,9062,1136,1153,1143,329,418,180,1
20677,200000,1,3,2,32,-1,-1,0,-1,0,-1,4881,6685,34484,13361,5540,12495,6691,30088,13378,127,12502,109,0
17618,410000,2,1,2,31,0,0,0,0,0,0,309531,313646,270317,209076,191671,192848,11270,15325,9099,7016,7703,100000,0
416,50000,2,3,1,35,-1,-1,-1,-2,-2,-2,22500,5000,0,0,0,0,5000,0,0,0,0,640,0
9960,80000,2,2,2,50,0,0,-1,-1,-1,-1,8985,5305,2992,2984,2992,2992,2000,2992,2984,3000,2992,2992,0
5898,370000,2,1,2,35,0,0,-2,-1,-1,0,40229,-101,-101,2329,156619,155988,0,0,2430,161450,6035,6439,0
5944,100000,2,1,1,38,0,0,0,0,0,0,66762,68566,65132,48738,51020,51948,5000,2436,3000,3000,2000,3000,0
1728,60000,2,2,1,42,2,2,0,0,0,0,57598,50821,19638,18919,16853,29682,0,2000,2000,1000,20000,10000,1
3280,170000,2,2,1,48,-2,-2,-1,-1,-1,-1,18727,64028,107946,13608,110667,6878,66513,108323,13608,112876,3998,1118,0
28709,360000,2,1,1,48,0,0,0,0,0,0,202783,202036,202918,202197,199002,197781,10000,10000,10000,7500,8000,8000,0
26197,310000,2,2,1,33,0,0,0,0,0,0,86513,82406,81964,74927,71636,66409,4000,3505,3500,2000,2200,3000,0
17579,150000,2,3,1,46,0,0,0,0,0,0,61510,62731,64047,65966,66671,68067,2240,2321,2980,2400,2468,2611,0
7581,360000,1,1,1,38,0,0,0,0,0,0,277523,117239,121284,93951,58200,52585,4013,90054,9011,3007,2592,1013,0
2348,260000,2,2,2,25,0,0,0,0,-1,0,16373,15249,15018,15520,3491,5651,5006,5000,5000,3491,3000,2000,1
24066,20000,1,1,2,23,-1,-1,-1,-1,-1,-1,14697,11983,4098,14899,10170,7151,12483,4098,14899,10170,427,0,0
14267,290000,2,2,1,37,0,0,0,0,0,0,277449,271080,280510,198869,222558,134187,52000,40504,20000,30003,15004,4012,0
216,30000,1,3,1,42,-1,-1,-1,-1,-1,2,390,390,390,240,1320,780,390,390,240,1470,0,0,0
24823,180000,1,1,2,31,-2,-2,-2,-2,-2,-2,3580,0,0,0,7108,1300,0,0,0,7108,1300,0,0
316,60000,1,2,2,23,0,0,0,0,0,0,49507,33282,34312,17277,17808,19346,1970,2000,618,809,2000,616,1
22767,360000,2,2,1,39,-1,-1,-1,-1,-1,-1,26680,22312,19181,16155,5936,15330,22434,19286,16243,5966,15407,43019,0
18371,30000,2,3,1,23,2,2,2,0,0,2,15003,15955,15410,17149,18362,18919,1500,0,2000,1500,1000,700,1
4508,30000,1,3,2,42,5,4,3,2,0,0,32755,31973,30937,29999,29214,29846,0,0,6,1054,1111,0,1
22877,50000,2,3,1,31,0,0,0,0,0,0,10184,12204,13239,15254,16394,18124,2204,1239,2254,1394,2000,1019,0
13084,20000,1,1,2,35,3,2,2,2,0,0,10216,10653,11371,10906,11588,12416,900,1200,0,1000,1400,0,1
4749,80000,1,1,2,24,-1,0,-1,2,-1,0,2130,3100,173,173,3435,11962,1010,173,0,3438,10004,5500,0
24603,230000,1,1,2,28,0,0,0,0,0,0,28534,27104,24415,29002,12415,10607,15222,10016,10083,5030,5003,5043,0
17515,390000,2,2,1,41,0,0,0,0,0,0,216622,214504,212726,210556,208317,205339,7244,7500,7228,7103,7214,7000,0
7176,150000,2,3,1,55,-2,-2,-2,-2,-2,-2,1194,2095,2154,2900,2512,3514,2101,2160,3046,2519,3625,0,0
11386,130000,2,2,2,27,-1,-1,-1,-1,-1,-1,390,390,390,390,390,380,390,390,390,390,380,400,0
864,10000,2,2,1,31,0,0,0,0,0,0,15915,9050,9901,9975,9736,8703,2330,2200,1000,333,311,322,0
26050,170000,2,2,1,37,-1,0,0,0,0,0,168719,166207,158403,146324,118981,113666,7000,7000,6011,5000,6000,9000,0
11700,20000,1,2,1,53,0,0,0,0,0,-2,12278,13209,7215,1520,0,0,1500,1060,30,0,0,0,0
18875,120000,2,1,2,26,1,2,2,0,0,0,3730,5006,4782,6041,6784,6826,1500,0,1500,1000,300,406,0
9763,90000,2,1,2,26,-1,-1,-1,-2,-1,-1,13416,5206,0,0,1980,170,7380,0,0,1980,170,1397,1
16754,80000,1,1,1,36,1,2,3,2,-1,-1,8415,10305,9979,1261,1261,1261,2181,0,0,1261,1261,1261,1
1638,30000,2,3,2,40,2,2,2,2,0,0,23687,23020,25218,24514,25030,25557,0,2579,0,909,944,4642,0
18249,60000,1,3,1,50,0,0,0,0,0,0,59703,59837,48187,42658,40587,40605,2047,2168,1642,1563,1600,1486,0
22472,140000,2,3,1,45,-1,-1,-1,-1,-1,-1,1352,381,2281,437,1320,300,381,2290,437,1320,300,0,0
24128,230000,1,2,1,28,0,0,0,-1,0,0,231357,233543,99033,237008,184695,185116,10000,7000,237008,6488,6605,6800,0
3772,280000,1,1,1,42,-2,-1,-1,0,0,-2,1751,22046,63729,55664,31014,28903,22909,64167,1113,32000,578,1768,0
14834,30000,1,3,2,50,2,0,0,0,0,0,46868,42397,38569,33570,19895,30125,1800,2200,1400,2000,30000,997,1
26529,230000,2,2,1,56,-2,-2,-2,-2,-2,-2,10511,2381,2580,48310,6390,7194,2381,2580,48342,6390,7194,13250,1
18284,190000,1,1,1,54,0,0,0,0,0,0,205824,201269,197129,192803,161324,156576,7154,7385,7520,5593,6000,5516,0
8368,140000,2,2,2,29,0,0,0,0,0,0,128583,132734,132135,126622,127495,119304,7000,5000,5000,6000,6000,5300,0
17796,470000,2,2,1,54,1,2,0,0,0,0,358581,351295,358671,367492,374249,381132,0,13033,14800,14359,13897,14425,0
8988,150000,2,1,2,35,0,0,2,2,0,0,128102,136722,137525,133431,135837,143319,12644,4926,0,5122,10349,0,1
8034,50000,1,2,2,25,0,0,-1,0,0,-1,27206,0,14805,14699,14999,497,0,14805,294,300,498,1003,0
10930,50000,1,1,2,22,0,0,0,0,0,0,13444,14819,15967,16599,17329,17888,1600,1700,1200,1000,1000,1000,0
13044,500000,2,1,1,47,0,-1,-1,0,0,2,12943,4814,18365,8728,28521,27920,5025,18571,5000,20000,0,5000,0
26648,40000,1,1,2,26,2,0,0,2,2,0,36460,37549,40527,41036,39103,38945,2000,3900,1500,0,1600,1600,1
12044,20000,2,3,1,52,0,0,2,0,0,0,9410,11840,11260,11260,11260,0,2600,0,0,0,0,0,0
2939,150000,1,2,1,31,2,2,0,0,0,0,156286,148841,134757,85874,84665,78130,57,6203,2819,3109,2842,3024,0
14465,500000,2,3,1,36,0,0,0,0,0,0,70016,70837,63488,32050,46393,35207,2568,2000,1285,15000,1520,6994,0
3624,210000,1,1,2,36,0,0,0,0,0,0,210463,109132,47182,37067,24511,22634,5187,2043,1552,2013,3002,3003,1
18231,300000,1,3,1,56,0,0,0,0,0,-1,110350,102556,103834,99368,101600,560,4052,6122,1987,2232,560,0,0
24552,270000,1,1,1,37,0,0,0,0,0,0,174532,167536,171865,176167,105523,45258,6900,7900,8800,4700,2100,60000,1
11027,50000,1,1,2,25,0,0,0,0,0,0,40181,66569,19281,18679,12980,8592,1500,2400,5700,8000,3062,1000,1
26,50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0
29442,300000,1,1,2,30,0,0,0,0,0,0,237372,243409,250477,254808,260562,266200,10000,11000,10000,10000,10000,10000,0
14409,50000,2,1,2,23,0,0,0,0,0,0,33959,35409,36120,36991,37744,39115,2000,1601,1472,1500,2000,5000,0
17781,100000,2,3,1,60,-1,-1,3,2,-1,-1,2178,4944,4709,2234,2267,2168,7300,0,0,2300,2168,2300,0
17464,140000,2,2,1,40,-1,-1,-1,-1,-1,0,815,8397,390,390,780,390,8419,390,390,780,0,390,1
22425,180000,2,1,2,40,-2,-2,-2,-2,-2,-2,0,0,1040,258,0,0,0,1040,258,0,0,0,0
5207,160000,2,1,1,53,0,0,0,0,0,0,52607,53548,56214,57246,58443,59883,2834,3500,2500,2207,2500,2300,0
3135,180000,2,1,2,28,0,0,0,0,0,-1,12595,18704,24410,29184,7325,326,7000,7000,7000,5000,326,7276,0
25001,410000,1,1,1,38,-1,-1,-1,-1,-2,-2,499,0,35509,0,0,0,0,35509,0,0,0,0,0
20403,80000,1,2,2,24,2,2,-2,-1,0,0,1430,0,0,872,22872,20641,0,0,872,22000,2002,2001,0
21713,110000,2,1,2,23,0,0,0,0,0,0,50346,54489,58602,62001,65334,69097,5000,5000,5000,5000,5000,2707,0
22215,80000,2,2,1,27,0,-1,-1,-1,-1,-1,20417,3061,7920,2830,3092,2315,3082,7932,2838,3112,2333,0,0
11261,20000,2,3,1,54,0,0,2,0,0,2,6268,8221,6997,8028,9510,8815,3000,0,3000,2000,0,5363,0
22863,150000,2,1,2,31,2,2,2,2,2,0,17893,20669,20050,24701,24006,26599,3400,0,5000,0,3000,3000,1
16775,20000,1,2,2,34,0,0,0,2,0,0,17676,17650,18740,18373,18768,19315,2000,2500,1000,1000,1000,2000,0
27741,50000,2,1,2,25,0,0,0,0,0,0,50051,46768,48124,48171,19401,19412,1754,2500,1781,2000,695,1000,0
26960,350000,1,1,1,34,0,0,0,0,0,0,120198,122480,82329,85252,76222,67243,5900,3300,4089,3000,2400,2551,0
24732,500000,1,1,2,30,-2,-2,-2,-2,-2,-1,24349,9543,53947,84388,26154,175790,9605,54218,84839,26283,175857,4914,0
14480,230000,1,1,1,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
27144,60000,1,2,2,30,-1,-1,2,-1,-1,-1,921,1498,749,749,58852,6295,1498,0,749,58852,6295,0,0
2327,80000,2,2,2,40,0,0,0,0,0,0,33918,50878,51787,52422,53608,50312,20000,2400,2000,2100,2500,2000,0
6669,50000,1,3,1,51,0,0,0,0,0,0,42257,44243,64104,33406,34104,34869,3000,2500,1985,1163,1256,1316,0
27563,20000,1,3,1,53,0,0,0,0,0,0,19084,19224,18545,19405,19358,19413,1300,1400,1300,700,700,646,0
2262,100000,1,3,2,30,0,0,0,0,0,0,46675,46567,46638,46454,46262,47823,1800,2000,1700,1683,3500,1500,1
26683,20000,1,1,2,27,0,0,0,0,0,0,39628,20571,19089,19658,19453,19108,1610,1323,1600,830,700,674,0
6391,150000,2,2,2,33,-1,0,0,0,0,0,46006,45425,32139,53639,51873,64675,2000,3000,40009,5000,20000,62339,0
18671,20000,2,2,2,22,0,0,0,0,0,0,15499,16505,35110,19495,19019,18134,1270,1320,2260,784,1000,2000,1
9378,130000,2,2,1,37,0,0,0,0,0,0,3811,8692,10467,10067,12567,12567,5000,2000,0,2500,0,0,1
6994,180000,2,1,2,28,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
8598,280000,1,1,2,27,-1,-1,-1,-1,-1,-1,5521,-7,1485,5727,1247,2037,7,1492,5727,1247,2037,26920,0
3824,200000,1,2,1,39,-2,-2,-2,-2,-2,-2,15109,3139,12840,3950,7688,2241,3155,12848,3950,7690,2241,2795,0
24976,90000,1,2,1,44,0,0,0,0,0,0,16420,17441,18467,19554,20028,20704,1300,1313,1400,800,1000,800,0
26010,110000,2,2,1,33,0,0,0,0,0,0,15605,20649,22397,23305,25341,30584,5649,2397,1305,2341,5584,1388,0
26496,210000,2,1,1,52,-1,-1,-1,-2,-1,-1,262,738,0,0,1858,45,738,0,0,1858,45,3667,0
6557,20000,1,2,2,22,3,2,2,3,2,2,16014,15474,19739,19194,38414,19200,0,4900,0,800,800,500,1
9814,100000,2,3,1,53,0,0,0,0,0,0,36838,37785,32905,29866,30503,28518,1607,1385,971,1018,984,810,0
10151,160000,1,1,2,42,-2,-2,-2,-2,-2,-2,51997,0,0,0,0,0,0,0,0,0,0,0,0
29441,140000,1,2,1,29,0,0,0,0,0,0,14544,22376,28746,36395,46358,49946,8376,7000,8395,10546,4400,7892,0
13756,440000,1,1,2,30,0,0,0,0,0,0,50735,52938,54190,45962,47421,49512,3000,3000,2000,2150,3000,3000,0
20157,150000,2,2,1,40,0,0,0,0,0,0,87105,82772,75928,66245,61833,62375,3000,3504,2300,2199,2414,2500,0
1761,290000,2,1,1,33,1,2,-1,-1,-1,-1,7064,1875,1814,8537,25576,13475,0,1814,8537,25576,13475,6000,0
28821,30000,2,5,2,46,0,0,2,0,0,-2,29213,17064,16465,16977,0,0,5064,0,5047,0,0,0,0
22003,250000,2,2,2,29,0,-1,-1,-2,-1,-1,20687,14082,-38,-38,7581,5625,14158,0,0,7619,5653,652,0
21911,300000,2,2,2,24,0,0,0,0,0,0,16463,11537,9265,7263,14145,11535,1500,1500,1500,9433,2000,3000,0
8295,140000,1,1,2,28,0,0,0,0,0,0,135648,138049,99274,100878,102984,106628,5247,3213,2857,2963,4566,1969,1
12945,180000,2,3,1,33,-1,0,0,0,0,-1,170126,171247,156803,159342,10400,20650,5950,7133,7369,600,20650,21650,0
17625,180000,2,1,2,32,-1,-1,2,2,0,0,10831,17816,18247,33230,5168,0,7201,1000,0,103,0,0,1
12016,100000,2,2,1,36,1,2,2,2,0,0,79695,77855,83945,81702,83232,84947,0,7400,0,3000,3100,3400,1
8439,170000,2,3,1,46,-1,-1,-1,-1,-1,0,246,123,5436,1229,93787,95816,123,5436,1229,93970,4000,3348,0
